Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.09147509,0.16718663,0.0073548,0.39189315,0.08005152,0.42483967509914755,0.01212197,0.05160845,0.1678347,0.37413427,0.01633674,0.08055548,0.35840554292184756,0.023726,0.00180744,0.00025846,0.00385415,0.65928716,0.0202532,0.00254087,0.00013138208351455,0.00010671,0.00255776,1.0000431637141454,0.9940001314432312,0.0016800250009882498,0.0014964573818326498,0.0029990550063138,0.003817423412292,0.0,0.0,0.03171602,0.05563708,0.018803198345765198,0.0039734327511534995,0.25746286,0.36771286,0.05961234403941312,0.11332971932492875,0.52596194,0.51851118,1.074e-05,0.39519954,0.00239643,0.00250253,0.00426958,0.00145366,1.2288539331359998e-05,1.612044944544e-05,0.0,0.0,0,0.14785796316210148,-0.0931958670440095,0.08168648987516555,0.4233282208442688,0.4742398858070374,0,0.4233282208442688,0.4742398858070374,0
00:00:00:02.002,51,0.06882029,0.12297048,0.00555241,0.45287448,0.09791043,0.3786657814106068,0.0154918,0.02893049,0.12585011,0.44278523,0.00997488,0.09676442,0.26210861680907876,0.03646239,0.00148339,0.00023215,0.00345459,0.5925877,0.01972075,0.00281491,0.00016202300022348,0.00013424,0.00227546,0.9900042091734933,0.9831802039951537,0.0013890457151027999,0.00120367690546995,0.00200039529676455,0.0030107491020831003,0.0,0.0,0.03401088,0.0595236,0.0178379712617937,0.004917010569165,0.23396932,0.3357068,0.05496648853634148,0.09327946472833905,0.52980655,0.50364232,9.49e-06,0.35231671,0.00208532,0.00393396,0.00568603,0.00125669,1.1341573038799999e-05,1.5019325849439998e-05,0.0,0.0,0,0.14283163591680162,-0.09684889630752873,0.07955028166852554,0.4251328706741333,0.4728103876113892,0,0.4251328706741333,0.4728103876113892,0
00:00:00:03.003,51,0.06876648,0.12099417,0.0062123,0.43177921,0.09947976,0.3631874492527899,0.01534773,0.02764142,0.12179522,0.42252365,0.01058617,0.10001139,0.25869697073182496,0.03847361,0.00152334,0.00023337,0.00337724,0.58164936,0.01876228,0.00312061,0.00017490383357457998,0.00013364,0.00233119,0.9906606709180565,0.9848756899263605,0.00131219357220045,0.0011430111911485499,0.00199968279676305,0.0029792308307401497,0.0,0.0,0.03222365,0.05662178,0.0165367170942667,0.0050469588087545,0.22841784,0.33232486,0.05974104770616488,0.10059421723317524,0.54240501,0.51897955,9.43e-06,0.34977522,0.00224215,0.00394701,0.00559911,0.00121438,1.1715955061439999e-05,1.5107415737119999e-05,0.0,0.0,0,0.14057133979742625,-0.09752557289769197,0.07890624283686665,0.42493507266044617,0.4728843569755554,0,0.42493507266044617,0.4728843569755554,0
00:00:00:04.004,51,0.07905035,0.07695124,0.00656491,0.42515114,0.16561109,0.43270489940595236,0.01347345,0.04968546,0.08365083,0.42135012,0.01099869,0.15447433,0.3419949393712691,0.0223269,0.00167133,0.00018539,0.00328024,0.51861548,0.01632342,0.00296885,0.00017830891691261,0.0001232,0.00214549,0.9875505331837114,0.9683178730563815,0.0006899166670724999,0.000613214286075,0.00213416035023765,0.0025078575052796996,0.0,0.0,0.02979775,0.06926995,0.01050231600694368,0.0039768806384815,0.19510962,0.237757,0.05987779787292196,0.1259761754999567,0.45401692,0.42902079,8.41e-06,0.26345024,0.00628886,0.00310866,0.00546032,0.00118484,9.579775285199999e-06,9.75595506056e-06,0.0,0.0,0,0.12904035871769048,-0.09388490296883294,0.07863727721053404,0.4255752861499785,0.4715453386306762,0,0.4255752861499785,0.4715453386306762,0
00:00:00:05.005,51,0.08459488,0.07236812,0.00855941,0.35699156,0.17330799,0.4457836406767758,0.01196336,0.0517352,0.07436999,0.35626215,0.01329741,0.16170362,0.3591409241879515,0.01897372,0.00127549,0.00021804,0.00319776,0.51706308,0.01588225,0.00312922,0.00029656125040905,0.00015127,0.00184166,0.9592714509581602,0.9189597518070908,0.00029321357160105,0.00029943880969995,0.00322842998020095,0.0022301826110781,0.0,0.0,0.03126708,0.06384088,0.0105742404236579,0.004681524653395,0.16019937,0.15656792,0.055193645869825,0.12933176766884194,0.41069037,0.38506523,7.94e-06,0.21211123,0.01018934,0.00305281,0.0063398,0.00108947,7.90606741928e-06,6.959101126719998e-06,0.0,0.0,0,0.1113703871751638,-0.09231450163002483,0.07920901088116893,0.4249902665615082,0.4706253707408905,0,0.4249902665615082,0.4706253707408905,0
00:00:00:06.006,51,0.06703897,0.0783131,0.00854541,0.33481777,0.14768732,0.4240714042127779,0.01497847,0.0310533,0.07639236,0.33649492,0.01207032,0.14046866,0.26980943605252955,0.02417371,0.00091132,0.00024045,0.00227339,0.44887704,0.01743545,0.00355105,0.00056043225077301,0.00029721,0.0010909,0.896189751852147,0.8381228471676198,0.0002140623810783,0.00022836261918194998,0.00261255104273415,0.00167843625353355,0.0,0.0,0.03824704,0.05625567,0.01170502575773886,0.006386223599062499,0.12640771,0.10285213,0.04264031936152528,0.1029489679847321,0.34374437,0.3466717,7.72e-06,0.20496312,0.01083928,0.00343285,0.00629272,0.00090138,6.606741575999999e-06,5.32943820464e-06,0.0,0.0,0,0.10468175603279184,-0.08842870726591262,0.08139372591987315,0.4249898195266724,0.4706752598285675,0,0.4249898195266724,0.4706752598285675,0
00:00:00:07.007,51,0.07591721,0.08421244,0.00971739,0.33209181,0.12936333,0.4003484163556061,0.01182761,0.03725973,0.07692452,0.32785627,0.00990592,0.1324289,0.34476865076473473,0.01964644,0.00058632,0.00020267,0.00208252,0.40594394,0.01965747,0.00516495,0.00127788258509593,0.00025955,0.00159799,0.8261997983816992,0.7381532638543647,0.00012456142864469998,0.0001298395238859,0.0020731415469177,0.0013714336465042501,0.0,0.0,0.03882514,0.05318054,0.0098933633398744,0.007877117614901,0.0734226,0.05724465,0.02710888035125656,0.0577744246215313,0.25996053,0.2766304,5.69e-06,0.17738822,0.01853092,0.00329565,0.00518331,0.00059607,5.439550564239999e-06,2.7307865180799995e-06,0.0,0.0,0,0.09506934582273832,-0.0803885037689626,0.0812687065620079,0.42578470706939703,0.4698725938796997,0,0.42578470706939703,0.4698725938796997,0
00:00:00:08.008,51,0.0708532,0.09054497,0.00956595,0.29114074,0.12082456,0.4018340355966804,0.01255141,0.03747408,0.08494868,0.29364571,0.01495708,0.12296993,0.36346482899973137,0.01931717,0.00051534,0.00013111,0.00245626,0.37296116,0.02218111,0.00381631,0.0010768183348186001,0.00017233,0.00220087,0.8151059611078829,0.7334525780958498,0.0002114314286958,0.00021590809536510002,0.00160686183848925,0.00113231561408595,0.0,0.0,0.05566901,0.05513316,0.0149763716765684,0.009307595785598,0.06655812,0.05792221,0.01892968367918216,0.036893494941059056,0.24348354,0.26427767,6.73e-06,0.15799506,0.02447424,0.0030491,0.00547341,0.00060471,5.74786517112e-06,2.6426966303999994e-06,0.0,0.0,0,0.0976014718985634,-0.07679804769545076,0.0813858670150636,0.42591822147369385,0.4698004722595215,0,0.42591822147369385,0.4698004722595215,0
00:00:00:09.009,51,0.05223454,0.12705921,0.01003705,0.29227525,0.08835546,0.38960122293377536,0.01754907,0.02476354,0.12201042,0.28800547,0.01381504,0.08631327,0.33771928873672297,0.02906879,0.00046157,0.00015935,0.00267778,0.39721844,0.02219918,0.00216406,0.00057571041746075,0.00026672,0.00131955,0.81295962732758,0.7450522261839102,0.00032205285733229996,0.0003347461906731,0.00191622630722565,0.00135304205072085,0.0,0.0,0.08212814,0.09206028,0.02285259443177582,0.0114318954359845,0.09382775,0.07861447,0.017244587261401382,0.034335433939367783,0.24017017,0.25687307,9.06e-06,0.22670887,0.01363864,0.00252796,0.00386835,0.00070713,6.3865168568e-06,3.8098876421599994e-06,0.0,0.0,0,0.09920941959099873,-0.07228573465067578,0.0817310084232343,0.4265514016151428,0.4710610210895538,0,0.4265514016151428,0.4710610210895538,0
00:00:00:10.010,51,0.0598775,0.12489671,0.00959239,0.30505905,0.09025591,0.3980042755952161,0.01596319,0.02709503,0.11870075,0.30045646,0.01314851,0.08812075,0.33569096063468157,0.02639095,0.00053199,0.00017244,0.00261952,0.4337354,0.02503756,0.00168958,0.00047676483399094,0.00032567,0.00098936,0.8363528565852074,0.7674468300339872,0.00041888000024639996,0.0004404133335924,0.00237299641457025,0.00174202763664615,0.0,0.0,0.09619503,0.0823469,0.02818870451863716,0.0099338841666165,0.12476616,0.09801737,0.01984061201311776,0.04433801994598106,0.24742155,0.26603889,9.67e-06,0.25004357,0.01124747,0.00266938,0.00377768,0.00081383,7.0471910143999985e-06,4.44853932784e-06,0.0,0.0,0,0.1123960016384164,-0.0748116951283419,0.08203161640184488,0.4264159798622131,0.4712421894073486,0,0.4264159798622131,0.4712421894073486,0
