Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,332.72642352,0.80236995,0.10087682,0.08962741,0.00554916,0.920372688003377,0.0,332.34004242,0.81693071,0.22300906,0.02319978,0.00227832,0.8064356740646542,0.0,7.242e-05,0.00157266,0.01309216,0.1575175875969339,0.01427629,0.19677217,0.95267057,0.00336394,0.00561362,1.84e-06,1.97e-06,3.57e-06,4.8e-06,0.0005305976467272001,0.00130359152859702,4.6125000003690004e-05,0.00017120833334703002,0.02308497,0.03805113,0.005237836000265881,0.00216837575,0.00028646,0.00228676,0.012574291111749401,0.00837865077820309,0.00017074,0.00033727,0.0,0.0,5.113083778186824,0.82455862,0.76558262,1.965e-05,1.3824999999999999e-06,2.9749999999999996e-07,1.35e-06,7e-08,0,0.04905163862995115,0.06854543027528733,-0.011499115967608772,0.462424248456955,0.6102195978164673,0,0.462424248456955,0.6102195978164673,0
00:00:00:02.002,51,333.85282764,0.83876646,0.16688412,0.0574985,0.00440644,0.9625340664873975,0.0,336.66415956,0.84100509,0.24943712,0.02714746,0.0019907,0.8491037668912798,0.0,6.581e-05,0.00239306,0.03201341,0.24748464556896493,0.01813373,0.18214577,0.97306335,0.00238907,0.01591817,7.5e-07,7.2e-07,1.49e-06,1.55e-06,0.0009534559994040901,0.00396576752693316,3.0250000002420004e-05,3.087500000247e-05,0.02080723,0.05975298,0.004477022000227261,0.00065141275,0.00020719,0.00224701,0.008817216556003132,0.00473428211135143,2.751e-05,4.399e-05,0.0,0.0,5.2241202781957075,0.86843127,0.86982054,1.866e-05,9.800000000000001e-07,2.625e-07,9.9e-07,4e-08,0,0.04560204842612645,0.0686992796099032,-0.017616780086850532,0.4626278281211853,0.6102593541145325,0,0.4626278281211853,0.6102593541145325,0
00:00:00:03.003,51,333.70464576,0.83721083,0.16988014,0.055153,0.00445213,0.9612191417862658,0.0,335.66673084,0.84383851,0.2387293,0.02929342,0.00192942,0.8406696194813283,0.0,6.601e-05,0.00236825,0.03302471,0.2484791618195769,0.01792836,0.1819734,0.97306931,0.00244022,0.01586282,7.4e-07,7.1e-07,1.46e-06,1.53e-06,0.0009878691758531699,0.00396565364458029,2.887500000231e-05,3.108333333582e-05,0.02111147,0.06102898,0.004554552444675641,0.000670255,0.0002075,0.00225606,0.00870510166710855,0.00470865022246124,2.757e-05,4.445e-05,0.0,0.0,5.225533555973598,0.86617517,0.86790568,1.856e-05,9.975000000000002e-07,2.8e-07,1.01e-06,4e-08,0,0.04558820169696007,0.07046789350468709,-0.017772973720129582,0.4625356793403626,0.6103136539459229,0,0.4625356793403626,0.6103136539459229,0
00:00:00:04.004,51,312.4409157,0.77858442,0.20304146,0.03880849,0.00671498,0.982437147761337,0.0,316.5034986,0.8283397,0.21959624,0.0345426,0.00205393,0.8229880075299907,0.0,5.57e-05,0.00270964,0.04576515,0.31141684185830776,0.01849978,0.1241056,0.97030151,0.00262902,0.01457736,5.7e-07,5e-07,2.7e-06,2.72e-06,0.00081203105831601,0.0035130578801572795,3.716666666964e-05,3.0166666669080003e-05,0.02419285,0.06133736,0.006883924222571661,0.0007340985,0.00022677,0.00239005,0.006896050667016721,0.0038978638890867505,1.757e-05,2.727e-05,0.0,0.0,5.290902667089939,0.88292193,0.89213306,2.102e-05,1.085e-06,3.15e-07,1.16e-06,4e-08,0,0.05213931990916339,0.06542114511649519,-0.017900970142962703,0.4609965085983277,0.6110743880271912,0,0.4609965085983277,0.6110743880271912,0
00:00:00:05.005,51,150.41608847999998,0.42208478,0.1074421,0.08981379,0.03902236,0.847899920277792,0.0,192.86597376,0.54684103,0.25408185,0.01995089,0.01029193,0.6182786828386779,0.0,3.56e-05,0.00213853,0.05242743,0.3199716218635723,0.03193899,0.06865005,0.97955739,0.00248417,0.01225209,1.7e-07,1.2e-07,3.46e-06,3.27e-06,0.0004039811762181,0.0027796677629685898,3.79166666697e-05,2.137500000171e-05,0.04659571,0.13539359,0.011727147333928621,0.0005082875,0.00020986,0.00277682,0.00523555955582132,0.00231470622233972,6.38e-06,1.006e-05,0.0,0.0,5.148733333745232,0.82867044,0.78202242,1.797e-05,7.175e-07,2.625e-07,8.5e-07,3e-08,0,0.034181667574109384,0.07446355830892293,-0.01923172377775297,0.4627646803855896,0.6059440970420837,0,0.4627646803855896,0.6059440970420837,0
00:00:00:06.006,51,81.33776958,0.15990388,0.11662249,0.07052115,0.09877061,0.6423518716821373,0.0,81.86297105999999,0.19722652,0.11809347,0.05376749,0.05558306,0.5113381326446375,0.0,4.002e-05,0.00147068,0.06288086,0.25392192598959296,0.04467936,0.07357495,0.98651779,0.0009563,0.03171863,1.3e-07,9e-08,1.46e-06,1.37e-06,0.00030690447039642,0.00210368188103814,2.545833333537e-05,1.5500000001240003e-05,0.04919775,0.20471275,0.009639188111600411,0.00046705099999999996,0.0001797,0.00335742,0.005262329666933791,0.0019100244445414002,4.43e-06,7.29e-06,0.0,0.0,5.18712300041497,0.78010988,0.72770423,1.489e-05,7.525e-07,2.625e-07,6.4e-07,3e-08,0,0.05068687547213874,0.07684455774050457,-0.015417082790662338,0.4605295956134796,0.5981007814407349,0,0.4605295956134796,0.5981007814407349,0
00:00:00:07.007,51,65.39253756000001,0.09398382,0.11811021,0.05390076,0.14037633,0.5140287549552646,0.0,50.09451462,0.10469028,0.07934388,0.07541563,0.10515545,0.49419334419925,0.0,4.898e-05,0.00101229,0.04434585,0.16477020093473038,0.04587126,0.0693344,0.98183692,0.00075561,0.03021495,1.4e-07,1.2e-07,1.5e-06,1.79e-06,0.00020783341163481,0.00120286023454233,1.808333333478e-05,3.070833333579e-05,0.08166056,0.26855379,0.01035250322274773,0.00085755825,0.00025227,0.00547639,0.00783477755595326,0.00253952700012891,6.2e-06,1.002e-05,0.0,0.0,5.04445433373689,0.72296923,0.62793028,1.472e-05,9.800000000000001e-07,2.8e-07,6.1e-07,4e-08,0,0.03309656861112141,0.08057857740433376,-0.012989892321937079,0.4591937363147736,0.5938469171524048,0,0.4591937363147736,0.5938469171524048,0
00:00:00:08.008,51,65.55964152,0.10593402,0.12225157,0.04896557,0.11139046,0.4887337533628601,0.0,38.033523,0.12051791,0.08898493,0.05754714,0.0840765,0.3954470386263278,0.0,5.404e-05,0.00049622,0.03783087,0.11411696298689249,0.03159981,0.0643534,0.96609217,0.00042943,0.03642034,2.7e-07,2.1e-07,3.89e-06,5.12e-06,0.00019786164693516,0.00059285741139417,3.1791666669210004e-05,6.350000000508e-05,0.09617209,0.25535399,0.012085971889502391,0.00209378375,0.00037027,0.00435434,0.006132216000311281,0.00246921988901423,1.49e-05,2.196e-05,0.0,0.0,5.1069888892974475,0.6503973,0.52604604,1.374e-05,1.2074999999999999e-06,3.5e-07,7.2e-07,5e-08,0,0.033408395198877734,0.07655624131573974,-0.007836327374106809,0.4589991271495819,0.5926462411880493,0,0.4589991271495819,0.5926462411880493,0
00:00:00:09.009,51,61.517089860000006,0.07765367,0.11901237,0.04032069,0.12921903,0.46934079479805935,0.0,23.5131966,0.08611243,0.07221006,0.06393323,0.11944201,0.2779867326559027,0.0,9.009e-05,0.00045802,0.01337816,0.12626518674436832,0.01527356,0.03004871,0.52699769,0.00029531,0.00819458,3.98e-06,3.97e-06,5.963e-05,9.404e-05,0.00017982023518173,0.00026403952924674,0.00018925000001514004,0.00104970833341731,0.04618927,0.05795192,0.01222290877839823,0.0053148835,0.00187364,0.01249736,0.017624758223116883,0.009589609778264561,0.0001219,0.00014604,0.0,0.0,4.971135667064358,0.60221279,0.48109272,2.355e-05,1.7675e-06,4.375e-07,1.09e-06,1.7e-07,0,0.034275849367565,0.07916968882973002,-0.010529776013126406,0.4586664140224457,0.5899926424026489,0,0.4586664140224457,0.5899926424026489,0
00:00:00:10.010,51,55.29102876,0.05399021,0.10473585,0.04726546,0.16303882,0.43903662667203225,0.0,21.31957674,0.05898426,0.07167081,0.05913967,0.17419493,0.26394361552510653,0.0,0.00023864,0.000367,0.00801979,0.18969289095006742,0.01044865,0.0209874,0.05855349,0.0001805,0.00324431,0.00019005,0.00021975,0.00025196,0.00048223,0.00048672658793109,0.00025359152925327,0.00123200000009856,0.018041333334776644,0.01299992,0.00865782,0.006477009778106561,0.00839495775,0.00910962,0.02959793,0.060950793114205065,0.05262787144711591,0.0018821,0.00150829,0.0,0.0,4.855019167055068,0.61145276,0.43961233,6.251e-05,2.59e-06,5.775e-07,1.89e-06,5.1e-07,0,0.03241652777099395,0.07420934086340382,-0.01286908714702924,0.4582229554653168,0.5878519415855408,0,0.4582229554653168,0.5878519415855408,0
00:00:00:11.011,51,30.045044580000003,0.06403201,0.12196423,0.04105984,0.13910064,0.28184734899037767,0.0,9.44283366,0.07056826,0.08457547,0.05498745,0.14112559,0.12838431712527623,0.0,0.00030238,0.00080791,0.00688276,0.26779022849812734,0.00717737,0.04144355,0.0746585,0.00029163,0.0023333,0.00053736,0.00072268,0.00019792,0.00040948,0.0008107877641991399,0.00040725835268664,0.0015316666667892001,0.03212545833590337,0.00557654,0.00437875,0.00432795866688636,0.011312611250000002,0.00799423,0.02686044,0.07782649167061725,0.07995023922628063,0.00320512,0.00303634,0.0,0.0,4.966454389286205,0.65916216,0.53130049,8.194e-05,3.15e-06,9.275e-07,3.06e-06,6.2e-07,0,0.04506032650053109,0.07447499019233521,-0.011892934681713926,0.4577314555644989,0.5873077511787415,0,0.4577314555644989,0.5873077511787415,0
00:00:00:12.012,51,27.658833780000002,0.0523534,0.12105224,0.05057963,0.18092674,0.2953746242885294,0.0,6.861894179999999,0.05350371,0.12273194,0.03366303,0.18415591,0.15319192230336148,0.0,0.00050416,0.00096986,0.00648778,0.31369531935970996,0.00733372,0.05524027,0.0460723,0.00038066,0.00185387,0.00331099,0.00440169,0.00010813,0.00022145,0.0027216790571224798,0.0009603839993997601,0.00300445833357369,0.04148866666998577,0.00268385,0.00314841,0.0020343533334366004,0.007257531500000001,0.0152069,0.03346488,0.10286611100522164,0.12827320100651135,0.00436457,0.00370341,0.0,0.0,4.93864977817287,0.65859401,0.5229733,0.00013397,2.975e-06,1.2775e-06,3.53e-06,7e-07,0,0.04479199826769669,0.07692500977360933,-0.010338598409782808,0.4587187767028809,0.5875634551048279,0,0.4587187767028809,0.5875634551048279,0
