expression, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
allframes_happy_2_nodelta, 1.89, 2.87, 1.45, 0.00, 1.46, 3.26, 0.34, 0.68, 2.27, 1.45, 0.00, 0.00, 0.00, 0.00, 2.11, 1.21, 0.93, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_happy_3_+delta, 2.53, 3.78, 1.78, 0.00, 2.27, 2.94, 0.41, 1.28, 2.55, 1.73, 0.00, 0.00, 0.00, 0.79, 2.83, 2.58, 1.51, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_happy_3_delta, 1.50, 2.21, 1.24, 0.00, 1.37, 3.14, 0.37, 0.72, 2.54, 1.63, 0.00, 0.00, 0.00, 0.00, 2.32, 1.19, 0.48, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
allframes_happy_3_nodelta, 1.61, 2.64, 1.15, 0.00, 1.69, 3.57, 0.52, 1.05, 2.49, 1.44, 0.00, 0.00, 0.00, 0.00, 2.50, 1.60, 0.74, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_sad_1_+delta, 1.90, 0.10, 0.00, 0.00, 0.00, 2.09, 0.00, 0.50, 0.00, 0.53, 0.52, 0.54, 1.04, 0.03, 1.32, 3.95, 0.41, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_sad_1_delta, 1.27, 2.12, 1.20, 0.65, 0.00, 1.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 0.56, 0.26, 2.14, 0.23, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
allframes_sad_1_nodelta, 1.78, 0.00, 0.00, 0.00, 0.00, 1.88, 0.00, 0.22, 0.00, 0.58, 0.34, 0.21, 1.53, 0.00, 1.21, 3.13, 0.54, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_sad_2_+delta, 1.61, 0.00, 0.00, 0.00, 0.00, 2.19, 0.00, 0.30, 0.00, 0.07, 0.63, 0.50, 1.44, 0.00, 1.23, 2.49, 0.64, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_sad_2_delta, 1.82, 0.00, 0.00, 0.00, 0.00, 1.93, 0.00, 0.27, 0.00, 0.60, 0.46, 0.05, 1.36, 0.00, 1.48, 3.18, 0.36, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
allframes_sad_2_nodelta, 1.48, 0.21, 0.00, 0.00, 0.00, 2.45, 0.00, 0.00, 0.00, 0.29, 1.07, 1.21, 0.85, 0.24, 1.34, 2.99, 0.40, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0
allframes_sad_3_+delta, 2.00, 1.32, 0.17, 0.00, 0.20, 3.61, 0.19, 0.00, 0.00, 0.27, 1.13, 1.04, 0.57, 0.00, 1.06, 2.96, 1.80, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_sad_3_delta, 2.01, 0.97, 0.00, 0.00, 0.00, 2.58, 0.00, 0.07, 0.00, 0.51, 1.20, 1.18, 0.88, 0.05, 1.68, 3.01, 0.83, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_sad_3_nodelta, 2.12, 0.18, 0.00, 0.00, 0.06, 2.59, 0.00, 0.35, 0.00, 0.85, 0.89, 0.00, 0.78, 0.00, 1.86, 2.24, 1.73, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
