expression, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
topframe_happy_3_+delta, 1.92, 3.11, 1.17, 0.00, 2.03, 3.45, 0.25, 0.93, 2.76, 1.81, 0.00, 0.00, 0.00, 0.00, 2.35, 1.02, 1.17, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
topframe_happy_3_delta, 1.75, 2.19, 1.51, 0.00, 1.94, 2.80, 0.21, 1.43, 2.83, 1.62, 0.00, 0.00, 0.00, 0.14, 3.36, 1.75, 0.21, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
topframe_happy_3_nodelta, 1.36, 2.06, 0.85, 0.00, 1.76, 3.67, 0.35, 0.93, 2.88, 1.01, 0.00, 0.00, 0.00, 0.00, 2.77, 1.24, 0.51, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
topframe_sad_1_+delta, 1.49, 2.39, 1.77, 0.00, 0.49, 2.73, 0.00, 0.00, 0.46, 1.18, 0.29, 0.71, 0.00, 0.24, 0.00, 0.00, 0.50, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
topframe_sad_1_delta, 1.55, 2.09, 1.23, 0.56, 0.03, 1.62, 0.00, 0.00, 0.29, 0.00, 0.00, 0.79, 0.00, 1.09, 0.00, 0.50, 0.29, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
topframe_sad_1_nodelta, 1.24, 2.32, 1.55, 0.45, 0.46, 2.16, 0.00, 0.00, 0.39, 0.26, 0.00, 0.70, 0.00, 0.77, 0.00, 0.61, 0.49, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
topframe_sad_2_+delta, 1.82, 2.49, 1.89, 0.30, 0.94, 2.31, 0.00, 0.14, 0.44, 0.66, 0.00, 0.79, 0.00, 0.67, 0.00, 0.15, 0.95, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
topframe_sad_2_delta, 1.13, 1.94, 1.39, 1.05, 0.00, 1.40, 0.00, 0.00, 0.19, 0.14, 0.00, 0.68, 0.00, 0.97, 0.00, 0.18, 0.28, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
topframe_sad_2_nodelta, 2.20, 0.48, 0.00, 0.00, 0.09, 2.77, 0.00, 0.12, 0.18, 0.98, 1.07, 1.79, 1.00, 0.75, 0.49, 2.15, 0.70, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0
topframe_sad_3_+delta, 2.13, 2.53, 1.83, 0.62, 1.00, 2.27, 0.00, 0.07, 0.58, 0.55, 0.00, 0.88, 0.00, 0.90, 0.00, 0.45, 0.90, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
