filename,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU12,AU14,AU15,AU17,AU20,AU23,AU25,AU26,AU45
002_blendshape_data(3).csv,0,#DIV/0!,#DIV/0!,0,3.620437956,2.625806452,#DIV/0!,0.823529412,1.465811966,0.936170213,0,0.911764706,#DIV/0!,0,7.4,0,#DIV/0!
002_blendshape_data(4).csv,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.440860216,0.64033264,#DIV/0!,0.405092593,0.88,0.238636364,0,0,0.25,0,0.947058824,0,0
002_blendshape_data(5).csv,#DIV/0!,#DIV/0!,#DIV/0!,0,3.405405406,1.601423488,#DIV/0!,1.309859155,1.186746988,0.262886598,1.666666667,#DIV/0!,0,#DIV/0!,0.788461539,0.190909091,0
002_blendshape_data(6).csv,0,#DIV/0!,#DIV/0!,#DIV/0!,2.968253968,1.752066116,0,1.086666667,1.227941177,0.418918919,#DIV/0!,0.178899083,#DIV/0!,0,0.513888889,0.423076923,1.285714286
002_blendshape_data(7).csv,5.555555556,#DIV/0!,0,0,1.75,1.155378486,#DIV/0!,0.785714286,#DIV/0!,0.094117647,1,0.925,4.166666667,#DIV/0!,2.188888889,0.541666667,474
002_blendshape_data(9).csv,0.614107884,0,1.048648648,#DIV/0!,2.739130434,3.209580838,0.215568862,14.22727273,#DIV/0!,#DIV/0!,0,0.106741573,#DIV/0!,#DIV/0!,0.565,0,#DIV/0!
002_blendshape_data(10).csv,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.202247192,0.860759494,0,0.6875,1.052325582,0.151595745,0.404761905,0.59859155,0,0.241666667,1.008333334,2,#DIV/0!
