Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.09728052,0.08432487,0.03665384,0.11702219,0.18349877,0.59402812,0.01229253,0.06422073,0.07236685,0.12067539,0.03408173,0.17851341,0.57500994,0.01708037,0.00132151,0.00614568,0.00063021,0.37269783,0.00467579,0.00449194,0.00184527,0.00565512,0.00004030,0.69550878,0.75705129,0.00103811,0.00108859,0.01634378,0.02723529,0.01113265,0.03244003,0.01333566,0.04229163,0.00362937,0.00431498,0.04617945,0.08573657,0.28737372,0.36906207,0.22736590,0.29499215,0.00000564,0.00008577,0.86672258,0.67045391,0.46244112,0.00125182,0.00000838,0.00000116,0.00000176,0.00000564,0,0.13837454943117536,0.025749907339593814,-0.07416156470216068,0.4764479994773865,0.4162321090698242,0,0.4764479994773865,0.4162321090698242,0
00:00:00:02.002,51,0.09939431,0.09885638,0.04356137,0.10998415,0.18084458,0.56719452,0.01233109,0.08718607,0.08286523,0.11889944,0.03879633,0.17582227,0.61996490,0.01455965,0.00187838,0.00628174,0.00085052,0.37121534,0.00319980,0.00541934,0.00179288,0.00437430,0.00004274,0.75230569,0.81111568,0.00130882,0.00137586,0.02259064,0.03782372,0.01681577,0.03870451,0.00935038,0.03258086,0.00343594,0.00387240,0.04377019,0.08314572,0.44549805,0.52991784,0.28669322,0.39181057,0.00000621,0.00015207,0.84182441,0.69376516,0.36517879,0.00141702,0.00000808,0.00000141,0.00000212,0.00000621,0,0.13812805495349556,0.0196043068627641,-0.07757117944143029,0.4763069450855255,0.41551756858825684,0,0.4763069450855255,0.41551756858825684,0
00:00:00:03.003,51,0.09833646,0.09885740,0.04093452,0.11618755,0.18179855,0.57021260,0.01234570,0.08823963,0.08382105,0.13047551,0.03525950,0.17510867,0.62156832,0.01449361,0.00192239,0.00658854,0.00080412,0.36827800,0.00318686,0.00536294,0.00171743,0.00492045,0.00003786,0.75579154,0.81573921,0.00132520,0.00135850,0.02233370,0.04113744,0.01749903,0.03660253,0.00919188,0.03350275,0.00335343,0.00383627,0.04252046,0.08136354,0.45484683,0.53563666,0.28780612,0.40300635,0.00000600,0.00014998,0.83922660,0.69657975,0.35975474,0.00142133,0.00000792,0.00000136,0.00000212,0.00000600,0,0.14146901181415925,0.01902738515855206,-0.07800402349745957,0.476601243019104,0.41571566462516785,0,0.476601243019104,0.41571566462516785,0
00:00:00:04.004,51,0.10116027,0.10536490,0.03369481,0.14492658,0.17505564,0.57000470,0.01244049,0.07830982,0.09175181,0.16246092,0.02693414,0.16306300,0.58823407,0.01844001,0.00233727,0.00729509,0.00077849,0.35666490,0.00273755,0.00694980,0.00183310,0.00499000,0.00003728,0.77672577,0.82616955,0.00137318,0.00138062,0.02312762,0.04556173,0.02325884,0.03565736,0.00783621,0.03044547,0.00303703,0.00372493,0.04257946,0.07699163,0.53910923,0.60972238,0.34671625,0.46192563,0.00000609,0.00012786,0.85903293,0.70946670,0.38896304,0.00148921,0.00000884,0.00000157,0.00000243,0.00000609,0,0.15516620881542076,0.011723961247349788,-0.0813818658390326,0.47751426696777344,0.41714638471603394,0,0.47751426696777344,0.41714638471603394,0
00:00:00:05.005,51,0.10097642,0.09592214,0.03984923,0.11961000,0.18492183,0.55302513,0.01219352,0.07060660,0.08195863,0.13320173,0.03471189,0.17777942,0.58347023,0.01981370,0.00242512,0.00568126,0.00084981,0.32386017,0.00246752,0.00800211,0.00211625,0.00490501,0.00004844,0.79074657,0.83576798,0.00060387,0.00061774,0.02778157,0.05004168,0.01767114,0.03048972,0.00715030,0.03240156,0.00262028,0.00370574,0.04959059,0.09061278,0.57203114,0.66408980,0.41293859,0.52562392,0.00000635,0.00024954,0.79920197,0.64688027,0.33353466,0.00142174,0.00000776,0.00000162,0.00000245,0.00000635,0,0.14750897526263415,0.015029961162913018,-0.08040432115105742,0.4770720601081848,0.4179205298423767,0,0.4770720601081848,0.4179205298423767,0
00:00:00:06.006,51,0.10897794,0.12355990,0.04063799,0.12006979,0.14870012,0.53694820,0.01136227,0.07644609,0.10411172,0.14064771,0.03217699,0.14098106,0.58569217,0.01852824,0.00236759,0.00527036,0.00083157,0.31478670,0.00277553,0.00793163,0.00196501,0.00301530,0.00007336,0.79549086,0.84346467,0.00067503,0.00066690,0.02201201,0.04065325,0.01974217,0.03005889,0.00777427,0.03794611,0.00270799,0.00384707,0.04739065,0.09428341,0.53030372,0.62575024,0.42938912,0.55401027,0.00000587,0.00022058,0.79439634,0.65267706,0.35626614,0.00136415,0.00000741,0.00000152,0.00000207,0.00000587,0,0.1595200820750657,0.012831862581173827,-0.07880924968501678,0.4767642021179199,0.41899871826171875,0,0.4767642021179199,0.41899871826171875,0
00:00:00:07.007,51,0.10014179,0.08558480,0.04722505,0.09915134,0.18888333,0.56098163,0.01189629,0.05620472,0.06656598,0.10252370,0.04257537,0.19587895,0.56946492,0.02089279,0.00167469,0.00364038,0.00057444,0.29114130,0.00475419,0.00535902,0.00211936,0.00339699,0.00008028,0.76663589,0.80734336,0.00095874,0.00098693,0.01325680,0.01927627,0.02240724,0.04592754,0.01284513,0.04204219,0.00399597,0.00408953,0.05829847,0.09698616,0.31678641,0.44365111,0.47866181,0.56109577,0.00000568,0.00021077,0.82295763,0.60936189,0.36254632,0.00113534,0.00000969,0.00000172,0.00000164,0.00000568,0,0.13422383802850732,0.016599021836682246,-0.07851569587960992,0.47587937116622925,0.4187183380126953,0,0.47587937116622925,0.4187183380126953,0
00:00:00:08.008,51,0.12276575,0.13189182,0.05697777,0.08433094,0.12091810,0.56218487,0.01072159,0.06588492,0.10399745,0.08002304,0.05682639,0.12666106,0.53498083,0.01547872,0.00214991,0.00110838,0.00083695,0.15247311,0.00487417,0.00280269,0.00154770,0.00452639,0.00006349,0.70326990,0.72653019,0.00151116,0.00151860,0.00942517,0.01232440,0.02421282,0.07398488,0.03212635,0.07474386,0.00682284,0.00431007,0.09382288,0.11745046,0.28300810,0.44969434,0.51129198,0.57477355,0.00000626,0.00027507,0.78879106,0.53329670,0.31372717,0.00112948,0.00000929,0.00000268,0.00000161,0.00000626,0,0.09931821211661203,0.008671772921661103,-0.07214101961280187,0.47560036182403564,0.42131978273391724,0,0.47560036182403564,0.42131978273391724,0
00:00:00:09.009,51,0.13643977,0.09936168,0.05649828,0.08454002,0.14391658,0.56272554,0.00865830,0.07203703,0.07816831,0.08164728,0.05273671,0.15889008,0.54780990,0.01147221,0.00203934,0.00076521,0.00053979,0.07886366,0.00359170,0.00274389,0.00170472,0.01080341,0.00003538,0.70579231,0.66564554,0.00097177,0.00097744,0.00829615,0.01064557,0.01710240,0.05261631,0.03112661,0.09386767,0.00491054,0.00529136,0.10678086,0.09282836,0.20192233,0.39322004,0.40846580,0.39317191,0.00000598,0.00026767,0.77227569,0.45770258,0.30632845,0.00089071,0.00000802,0.00000212,0.00000197,0.00000598,0,0.07117409157994922,0.010739877056544181,-0.06858400979073913,0.4763069748878479,0.42149531841278076,0,0.4763069748878479,0.42149531841278076,0
00:00:00:10.010,51,0.12410764,0.11858034,0.04539938,0.09452951,0.11649529,0.57076085,0.00851803,0.06754705,0.09766188,0.09198634,0.04470601,0.12310638,0.58239818,0.01069095,0.00149670,0.00052139,0.00075240,0.08022117,0.00328163,0.00282066,0.00138738,0.00673748,0.00006042,0.59354407,0.53401721,0.00037317,0.00045018,0.01495751,0.00869804,0.00748600,0.05204218,0.02414683,0.10562561,0.00295585,0.00737226,0.10750355,0.08162775,0.09860594,0.20595784,0.20843942,0.16810033,0.00000596,0.00018282,0.76703274,0.47481328,0.32967460,0.00073413,0.00000525,0.00000169,0.00000203,0.00000596,0,0.04343598540328718,0.012205850673563553,-0.06844143353019963,0.4764574468135834,0.42173105478286743,0,0.4764574468135834,0.42173105478286743,0
00:00:00:11.011,51,0.11307161,0.08538906,0.07247414,0.05942996,0.13875799,0.57086408,0.00814585,0.04484145,0.07361268,0.05981441,0.07453789,0.15504204,0.51998615,0.01373324,0.00078888,0.00030353,0.00065769,0.05857111,0.00486044,0.00215002,0.00101608,0.00492630,0.00014502,0.28911775,0.27373725,0.00007691,0.00011598,0.05084389,0.01932317,0.00432755,0.05876283,0.01925515,0.05523991,0.00166854,0.00401021,0.25824609,0.19350573,0.01598800,0.02828971,0.00485670,0.00440279,0.00000294,0.00009422,0.83983499,0.52583003,0.38601902,0.00031469,0.00000232,0.00000128,0.00000145,0.00000294,0,0.02437614941467051,0.015890185621537746,-0.06829002695578082,0.4756188988685608,0.42100369930267334,0,0.4756188988685608,0.42100369930267334,0
