Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:01.001,51,0.09147509,0.16718663,0.00735480,0.39189315,0.08005152,0.49356374,0.01212197,0.05160845,0.16783470,0.37413427,0.01633674,0.08055548,0.41638291,0.02372600,0.00180744,0.00025846,0.00385415,0.32964358,0.02025320,0.00254087,0.00054365,0.00010671,0.00255776,0.95031726,0.94457471,0.00415065,0.00369713,0.01978324,0.02518160,0.24817264,0.20328800,0.03171602,0.05563708,0.01864780,0.00663797,0.25746286,0.36771286,0.05911968,0.11239311,0.52596194,0.51851118,0.00001074,0.39519954,0.00239643,0.00250253,0.00426958,0.00145366,0.00000558,0.00000732,0.00000041,0.00001074,0,0.14785796316210148,-0.0931958670440095,0.08168648987516555,0.4233282208442688,0.47423988580703735,0,0.4233282208442688,0.47423988580703735,0
00:00:00:02.002,51,0.06882029,0.12297048,0.00555241,0.45287448,0.09791043,0.43992054,0.01549180,0.02893049,0.12585011,0.44278523,0.00997488,0.09676442,0.30450854,0.03646239,0.00148339,0.00023215,0.00345459,0.29629385,0.01972075,0.00281491,0.00067044,0.00013424,0.00227546,0.94077748,0.93429279,0.00343176,0.00297379,0.01319559,0.01986038,0.23617759,0.17010677,0.03401088,0.05952360,0.01769055,0.00821430,0.23396932,0.33570680,0.05451222,0.09250856,0.52980655,0.50364232,0.00000949,0.35231671,0.00208532,0.00393396,0.00568603,0.00125669,0.00000515,0.00000682,0.00000045,0.00000949,0,0.14283163591680162,-0.09684889630752873,0.07955028166852554,0.4251328706741333,0.47281038761138916,0,0.4251328706741333,0.47281038761138916,0
00:00:00:03.003,51,0.06876648,0.12099417,0.00621230,0.43177921,0.09947976,0.42193836,0.01534773,0.02764142,0.12179522,0.42252365,0.01058617,0.10001139,0.30054501,0.03847361,0.00152334,0.00023337,0.00337724,0.29082468,0.01876228,0.00312061,0.00072374,0.00013364,0.00233119,0.94140130,0.93590397,0.00324189,0.00282391,0.01319089,0.01965247,0.23084022,0.17071295,0.03222365,0.05662178,0.01640005,0.00843139,0.22841784,0.33232486,0.05924732,0.09976286,0.54240501,0.51897955,0.00000943,0.34977522,0.00224215,0.00394701,0.00559911,0.00121438,0.00000532,0.00000686,0.00000047,0.00000943,0,0.14057133979742623,-0.09752557289769195,0.07890624283686665,0.42493507266044617,0.4728843569755554,0,0.42493507266044617,0.4728843569755554,0
00:00:00:04.004,51,0.07905035,0.07695124,0.00656491,0.42515114,0.16561109,0.50270128,0.01347345,0.04968546,0.08365083,0.42135012,0.01099869,0.15447433,0.39731765,0.02232690,0.00167133,0.00018539,0.00328024,0.25930774,0.01632342,0.00296885,0.00073783,0.00012320,0.00214549,0.93844581,0.92016947,0.00170450,0.00151500,0.01407797,0.01654306,0.14020398,0.10647086,0.02979775,0.06926995,0.01041552,0.00664373,0.19510962,0.23775700,0.05938294,0.12493505,0.45401692,0.42902079,0.00000841,0.26345024,0.00628886,0.00310866,0.00546032,0.00118484,0.00000435,0.00000443,0.00000044,0.00000841,0,0.12904035871769048,-0.09388490296883294,0.07863727721053404,0.42557528614997864,0.47154533863067627,0,0.42557528614997864,0.47154533863067627,0
00:00:00:05.005,51,0.08459488,0.07236812,0.00855941,0.35699156,0.17330799,0.51789570,0.01196336,0.05173520,0.07436999,0.35626215,0.01329741,0.16170362,0.41723725,0.01897372,0.00127549,0.00021804,0.00319776,0.25853154,0.01588225,0.00312922,0.00122715,0.00015127,0.00184166,0.91157287,0.87326562,0.00072441,0.00073979,0.02129631,0.01471138,0.03903676,0.04317556,0.03126708,0.06384088,0.01048685,0.00782090,0.16019937,0.15656792,0.05473750,0.12826291,0.41069037,0.38506523,0.00000794,0.21211123,0.01018934,0.00305281,0.00633980,0.00108947,0.00000359,0.00000316,0.00000044,0.00000794,0,0.11137038717516379,-0.09231450163002484,0.07920901088116893,0.4249902665615082,0.4706253707408905,0,0.4249902665615082,0.4706253707408905,0
00:00:00:06.006,51,0.06703897,0.07831310,0.00854541,0.33481777,0.14768732,0.49267119,0.01497847,0.03105330,0.07639236,0.33649492,0.01207032,0.14046866,0.31345508,0.02417371,0.00091132,0.00024045,0.00227339,0.22443852,0.01743545,0.00355105,0.00231903,0.00029721,0.00109090,0.85162783,0.79644823,0.00052886,0.00056419,0.01723367,0.01107179,0.01290456,0.02102096,0.03824704,0.05625567,0.01160829,0.01066875,0.12640771,0.10285213,0.04228792,0.10209815,0.34374437,0.34667170,0.00000772,0.20496312,0.01083928,0.00343285,0.00629272,0.00090138,0.00000300,0.00000242,0.00000043,0.00000772,0,0.10468175603279185,-0.08842870726591263,0.08139372591987315,0.42498981952667236,0.4706752598285675,0,0.42498981952667236,0.4706752598285675,0
00:00:00:07.007,51,0.07591721,0.08421244,0.00971739,0.33209181,0.12936333,0.46511066,0.01182761,0.03725973,0.07692452,0.32785627,0.00990592,0.13242890,0.40054005,0.01964644,0.00058632,0.00020267,0.00208252,0.20297197,0.01965747,0.00516495,0.00528779,0.00025955,0.00159799,0.78511804,0.70144951,0.00030774,0.00032078,0.01367546,0.00904665,0.00480147,0.00668726,0.03882514,0.05318054,0.00981160,0.01315942,0.07342260,0.05724465,0.02688484,0.05729695,0.25996053,0.27663040,0.00000569,0.17738822,0.01853092,0.00329565,0.00518331,0.00059607,0.00000247,0.00000124,0.00000034,0.00000569,0,0.09506934582273832,-0.0803885037689626,0.0812687065620079,0.425784707069397,0.4698725938796997,0,0.425784707069397,0.4698725938796997,0
00:00:00:08.008,51,0.07085320,0.09054497,0.00956595,0.29114074,0.12082456,0.46683660,0.01255141,0.03747408,0.08494868,0.29364571,0.01495708,0.12296993,0.42226061,0.01931717,0.00051534,0.00013111,0.00245626,0.18648058,0.02218111,0.00381631,0.00445580,0.00017233,0.00220087,0.77457583,0.69698256,0.00052236,0.00053342,0.01059965,0.00746931,0.00533943,0.00743917,0.05566901,0.05513316,0.01485260,0.01554916,0.06655812,0.05792221,0.01877324,0.03658859,0.24348354,0.26427767,0.00000673,0.15799506,0.02447424,0.00304910,0.00547341,0.00060471,0.00000261,0.00000120,0.00000025,0.00000673,0,0.09760147189856341,-0.07679804769545076,0.0813858670150636,0.42591822147369385,0.4698004722595215,0,0.42591822147369385,0.4698004722595215,0
00:00:00:09.009,51,0.05223454,0.12705921,0.01003705,0.29227525,0.08835546,0.45262495,0.01754907,0.02476354,0.12201042,0.28800547,0.01381504,0.08631327,0.39235035,0.02906879,0.00046157,0.00015935,0.00267778,0.19860922,0.02219918,0.00216406,0.00238225,0.00026672,0.00131955,0.77253622,0.70800543,0.00079566,0.00082702,0.01264037,0.00892533,0.00548743,0.01077731,0.08212814,0.09206028,0.02266373,0.01909799,0.09382775,0.07861447,0.01710207,0.03405167,0.24017017,0.25687307,0.00000906,0.22670887,0.01363864,0.00252796,0.00386835,0.00070713,0.00000290,0.00000173,0.00000025,0.00000906,0,0.09920941959099872,-0.07228573465067577,0.0817310084232343,0.4265514016151428,0.47106102108955383,0,0.4265514016151428,0.47106102108955383,0
00:00:00:10.010,51,0.05987750,0.12489671,0.00959239,0.30505905,0.09025591,0.46238732,0.01596319,0.02709503,0.11870075,0.30045646,0.01314851,0.08812075,0.38999391,0.02639095,0.00053199,0.00017244,0.00261952,0.21686770,0.02503756,0.00168958,0.00197282,0.00032567,0.00098936,0.79476625,0.72928649,0.00103488,0.00108808,0.01565345,0.01149127,0.00712832,0.01477583,0.09619503,0.08234690,0.02795574,0.01659543,0.12476616,0.09801737,0.01967664,0.04397159,0.24742155,0.26603889,0.00000967,0.25004357,0.01124747,0.00266938,0.00377768,0.00081383,0.00000320,0.00000202,0.00000027,0.00000967,0,0.1123960016384164,-0.0748116951283419,0.08203161640184488,0.42641597986221313,0.47124218940734863,0,0.42641597986221313,0.47124218940734863,0
